input,output,instruction
เราจะมีส่วนช่วยในการอนุรักษ์ป่าไม้ได้อย่างไร ,อธิบายให้คนอื่นเข้าใจถึงผลเสียของการทำลายป่า ,ถามตอบ
ในฐานะนักเรียนเป็นสมาชิกในชุมชนจะปฏิบัติตนอย่างไร ,ช่วยพัฒนาชุมชนตามโอกาส ,ถามตอบ
ประโยชน์ของแผนที่ช่วยเอื้อในการทำกิจกรรมใด ,การเดินทาง ,ถามตอบ
ถ้าเรานั้งรถประจำทางที่มีผู้โดยสารแน่นแล้วมีคนชราขึ้นมาเราจะทำอย่างไร ,ลุกให้คนชรานั่ง ,ถามตอบ
เอกลักษณ์ของไทยที่สำคัญที่สุดคืออะไร ,ภาษาไทย ,ถามตอบ
ถ้านักเรียนมีสิทธิเลือกตั้ง นักเรียนจะไปใช้สิทธิเลือกตั้งหรือไม่เพราะเหตุใด ,ไปเพราะจะได้ใช้สิทธิตนเองให้เต็มที่ ,ถามตอบ
ถ้าสมาชิกในครอบครัวปฏิบัติตามหน้าที่ของตนครอบครัวจะเป็นอย่างไร ,มีความสงบสุข ,ถามตอบ
ผู้ประกอบอาชีพค้าขายต้องมีคุณธรรมข้อใด ,ซื่อสัตย์ ,ถามตอบ
การปกครองระบอบประชาธิปไตยยึดหลักการข้อใดมากที่สุด ,การคำนึงถึงผลประโยชน์ของส่วนรวม ,ถามตอบ
ในระบบประชาธิปไตยการลงมติทำอย่างไรอย่าง หนึ่ง ยึดหลักเกณฑ์ได้ ,เสียงข้างมาก ,ถามตอบ
การปกครองระบอบประชาธิปไตยใครทำหน้าที่บริหารประเทศ ,คณะรัฐมนตรี ,ถามตอบ
การซื้อสินค้าผ่อนส่งควรซื้อในกรณีใด ,มีความจำเป็นแต่เงินที่มีอยู่ไม่พอ ,ถามตอบ
ผู้ประกอบอาชีพค้าขายควรมีความรับผิดชอบต่อสังคมอย่างไร ,ขายเฉพาะสินค้าที่มีคุณภาพดีที่สุด ,ถามตอบ
การรวมกลุ่มสหกรณ์ต้องการแก้ไขปัญหาเรื่องใดมากที่สุด ,พ่อค้าคนกลาง ,ถามตอบ
ประชาชนชาวไทยสามารถมีส่วนร่วมในการปกครองประเทศโดยวิธีใด ,เลือกตั้งสมาชิกสภาผู้แทนราษฎร ,ถามตอบ
การเป็นผู้ตามที่ดีควรปฏิบัติอย่างไร ,ปฏิบัติตามข้อตกลงของที่ประชุม ,ถามตอบ
เครื่องมือทางภูมิศาสตร์ชนิดใดสำคัญที่สุดสำหรับนักเดินเรือทะเล ,เข็มทิศ ,ถามตอบ
เมื่อถึงวันสำคัญเกี่ยวกับชาติและพระมหากษัตริย์ควรทำอย่างไร ,ประดับธงชาติตามบ้านเรือน ,ถามตอบ
ผู้ที่จะมาเป็นหัวหน้าชั้นเรียนได้ควรเป็นคนอย่างไร ,มีความสามารถที่จะรับผิดชอบต่อหน้าที่ ,ถามตอบ
วันสำคัญได้แสดงออกถึงความกตัญญูกตเวที ,วันสงกรานต์ ,ถามตอบ
ข้อใด มีอิทธิพลต่อการประกอบอาชีพของคนไทยมากที่สุด ,ลักษณะทางภูมิศาสตร์ ,ถามตอบ
ในวันสำคัญทางศาสนานอกจากประกอบพิธีกรรมแล้วนักเรียนสามารถทำอะไรได้อีก ,ช่วยพัฒนาสถานที่สำคัญทางศาสนา ,ถามตอบ
หลักธรรมของพระพุทธศาสนาสามารถพิสูจน์ได้โดยวิธีใด ,การปฏิบัติ ,ถามตอบ
ศาสนาแต่ละศาสนามีความแตกต่างกันในเรื่องใดมากที่สุด ,พิธีกรรม ,ถามตอบ
ขอใดไม่จัดเป็นเครื่องมือทางภูมิศาสตร์ ,นาฬิกา ,ถามตอบ
ข้อใดเป็นหน้าที่ของพ่อแม่ที่มีต่อลูก ,อบรมสั่งสอนให้ลูกเป็นคนดี ,ถามตอบ
ถ้าเรามีเพื่อนที่ไม่ได้นับถือศาสนาเดียวกับเราเหรอควรปฏิบัติอย่างไร ,ไม่พูดลบหลู่ศาสนาที่เพื่อนนับถือ ,ถามตอบ
ครอบครัวจะมีความสุขถ้าทุกคนปฏิบัติตนอย่างไร ,ทำตามหน้าที่ของตนเอง ,ถามตอบ
นักเรียน เห็นคนในชุมชนกำลังช่วยกันทำความสะอาดในหมู่บ้านนักเรียนควรทำอย่างไร ,เข้าไปช่วยตามความสามารถ ,ถามตอบ
สิ่งสำคัญที่ทำให้ครอบครัวมีความสุขคือข้อใด ,ความรักความเข้าใจกัน ,ถามตอบ
การอยู่ร่วมกันในสังคมต้องยึดอะไรเป็นหลักปฏิบัติ ,กฎหมาย,ถามตอบ
เราจะช่วยบำรุงรักษาป่าไม้ได้อย่างไร ,ปลูกป่าทดแทน ,ถามตอบ
การเลือกซื้อสินค้าต้องคำนึงถึงเรื่องใดมากที่สุด ,ความจำเป็น ,ถามตอบ
ปัญหาได้มักเกิดขึ้นในชุมชนเมืองโดยเฉพาะเมืองใหญ่ๆ ,ปัญหาการจราจรติดขัด ,ถามตอบ
ก่อนซื้อสินค้าเราควรปฏิบัติอย่างไร ,สืบราคาจากหลายๆล้านก่อนซื้อ  ,ถามตอบ
ในการแสดงความคิดเห็นที่แตกต่างกันในระบอบประชาธิปไตยจะหาข้อยุติได้อย่างไร ,ให้เสียงข้างมากตัดสิน ,ถามตอบ
กฎหมายแม่บทที่ใช้ในการปกครองประเทศเรียกว่าอะไร ,รัฐธรรมนูญ ,ถามตอบ
นักเรียนควรปฏิบัติอย่างไรจึงจะเป็นนักเรียนที่ดี ,การปฏิบัติตามกฎของโรงเรียน ,ถามตอบ
อำนาจในการปกครองประเทศแบบประชาธิปไตยได้มาอย่างไร ,การเลือกตั้ง ,ถามตอบ
การตัดต้นไม่มีผลเสียในแง่ได้มากที่สุด ,ฝนแล้ง ,ถามตอบ
ผู้มีสิทธิออกเสียงเลือกตั้งควรทำอย่างไรเมื่อมีการเลือกตั้ง ,ไปเลือกคนดีมีความสามารถ ,ถามตอบ
การนอนหลับทับสิทธิมีผลเสียอย่างไร ,ทำให้การปกครองระบอบประชาธิปไตยไม่ได้ผล ,ถามตอบ
ถ้า มีการแสดงความคิดเห็นโต้แย้งกันในที่ประชุมนักเรียนจะทำอย่างไร ,รับฟังความคิดเห็นนั้นและคิดทบทวน ,ถามตอบ
ถ้าเราทำอะไรผิดแล้วกล่าวคำขอโทษผู้ฟังจะรู้สึกอย่างไรมากที่สุด,ให้อภัย ,ถามตอบ
เราสามารถช่วยครอบครัวประหยัดไฟฟ้าอย่างไร ,เมื่อเลิกใช้ไฟฟ้าแล้วปิดทันที ,ถามตอบ
ปัจจัยในข้อใดที่ทำให้ภาคอีสานเหมาะแก่การเลี้ยงสัตว์ ,มีพื้นที่กว้างขวาง ,ถามตอบ
มารยาทที่สมาชิกในครอบครัวควรปฏิบัติต่อกันมากที่สุดคือข้อใด ,พูดจาสุภาพต่อกัน ,ถามตอบ
สภาพอากาศในปัจจุบันร้อนขึ้นเรื่อยๆเกิดจากสาเหตุใด ,เกิดปรากฏการณ์เรือนกระจก ,ถามตอบ
ภูมิประเทศของภาคใต้มีลักษณะเป็นทิวเขาที่ราบลูกฟูกสลับกับเนินเขาเตี้ยๆ,ภาคตะวันออก ,ถามตอบ
นโยบายการปลูกป่ามีผลดีอย่างไรมากที่สุด ,ทำให้มีแหล่งต้นน้ำลำธารอุดมสมบูรณ์ ,ถามตอบ
เครื่องใช้ไฟฟ้าเมื่อใช้เสร็จแล้วเอาปลั๊กไฟออกจะมีผลดีอย่างไรที่สุด ,ป้องกันไฟไหม้ ,ถามตอบ
การฝึกสมาธิมีผลดีในด้านใด ,ทำให้จิตใจสงบสะอาดผ่องใส ,ถามตอบ
การพูดอย่างไรที่ทำให้ผู้อื่นเดือดร้อนและไม่มีใครอยากคบ ,พูดนินทา ,ถามตอบ
การยืนตรงเมื่อได้ยินเพลงสรรเสริญพระบารมีมีการแสดงคุณธรรมด้านใด ,ความจงรักภักดี ,ถามตอบ
การถวายความจงรักภักดีที่ดีที่สุดต่อพระมหากษัตริย์ควรทำอย่างไร ,ปฏิบัติตามพระบรมราโชวาทในโอกาสต่างๆ ,ถามตอบ
เราจะซื่อสัตย์ต่อเพื่อนได้อย่างไร ,มีความจริงใจต่อเพื่อน ,ถามตอบ
หลักการสำคัญของสหกรณ์คือข้อใด ,ยึดถือการรวมกลุ่มคนเป็นหลัก ,ถามตอบ
การปฏิบัติตนในข้อใดที่ทำให้สังคมมีความสงบสุขมากที่สุด ,ปฏิบัติตามคำสั่งของศาสนาที่ตนนับถืออย่างเคร่งครัด ,ถามตอบ
ชาวมุสลิมทำการละหมาดเพื่อจุดประสงค์ใด ,เพื่อชำระจิตใจให้บริสุทธิ์ ,ถามตอบ
การศึกษาเกี่ยวกับภูมิธรณีเป็นการศึกษาเกี่ยวกับเรื่องได้ ,หินและแร่ธาตุ ,ถามตอบ
ศาสนามีประโยชน์อย่างไร ,เป็นที่พึ่งทางใจ ,ถามตอบ
จุดมุ่งหมายสำคัญของทุกศาสนาคืออะไร ,สอนให้ทุกคนทำความดี ,ถามตอบ
เพราะเหตุใดคนเราต้องนับถือศาสนา ,เพื่อเป็นแนวทางในการดำเนินชีวิต ,ถามตอบ
หลักคำสอนของศาสนาเรียกว่าอะไร ,พระธรรม,ถามตอบ
ศาสนาต่างๆส่วนใหญ่กำเนิดขึ้นทวีปได้ ,เอเชีย ,ถามตอบ
ผู้ที่เผยแพร่และปฏิบัติตามหลักธรรมคำสอนของศาสนาเรียกว่าอะไร ,สาวก ,ถามตอบ
คำว่าศาสดาหมายถึงใคร ,ผู้ก่อตั้งศาสนา ,ถามตอบ
ศาสนาประจำชาติไทยคือศาสนาใด ,พระพุทธศาสนา ,ถามตอบ
หลัก ธรรมในข้อใดที่เป็นหัวใจสำคัญของพระพุทธศาสนา ,ทำดีไม่ทำชั่วทำจิตใจให้บริสุทธิ์ ,ถามตอบ
คำสอนสำคัญของศาสนาคริสต์คือข้อใด ,บัญญัติ 10 ประการ ,ถามตอบ
จังหวัดใดในประเทศไทยที่ประชาชนส่วนใหญ่นับถือศาสนาอิสลาม ,ยะลา ปัตตานี นราธิวาส สตูล ,ถามตอบ
หลักธรรมข้อใดทำให้การทำงานกลุ่มสำเร็จลุล่วงไปด้วยดี ,ความสามัคคี ,ถามตอบ
หลักคำสอนของศาสนาอิสลามเน้นในเรื่องใด ,หลักศรัทธาและหลักปฏิบัติ ,ถามตอบ
การปฏิบัติตามหลักคำสอนทางศาสนาเกิดผลดีต่อสิ่งใดมากที่สุด ,จิตใจ ,ถามตอบ
ศาสนาคริสต์สอนให้รักเพื่อนบ้านคำว่าเพื่อนบ้านหมายถึงข้อใด ,มนุษย์ทั้งโลก ,ถามตอบ
หลักปฏิบัติข้อใดของศาสนาอิสลามที่ไม่ได้บังคับให้ทุกคนปฏิบัติ ,การประกอบพิธีอัจญ์,ถามตอบ
ถ้าพบกระเป๋าเงินตกในบริเวณโรงเรียนนักเรียนควรทำอย่างไร ,นำส่งครูให้ประกาศหาเจ้าของ ,ถามตอบ
ลักษณะของการทำความดีขึ้นอยู่กับข้อใด ,มีเจตนาดีในการทำ ,ถามตอบ
ถ้าเพื่อนของนักเรียนชอบไปยิงนกยิงปลาควรจะ 5 มปรามเพื่อนอย่างไร ,อย่าทำเพราะมันก็รักชีวิตเหมือนกัน ,ถามตอบ
การปฏิบัติในข้อใดจะครอบคลุมคุณธรรม 4 ประการอันเป็นแนวพระราชดำรัส ,ปฏิบัติตามหลักธรรมของศาสนา ,ถามตอบ
ถ้าทุกคนมีความซื่อสัตย์เป็นพื้นฐานการดำเนินชีวิตจะไม่ก่อให้เกิดปัญหาใด ,ปัญหาการทุจริตคดโกง ,ถามตอบ
การที่เรารู้จักใช้จ่ายเงินแสดงว่าเราปฏิบัติตามค่านิยมข้อใด ,ประหยัดอดออม ,ถามตอบ
ถ้าเราวิ่งข้ามถนนใต้สะพานลอยแสดงว่าเราขาดคุณธรรมพื้นฐานข้อใด ,การเคารพกฎหมาย ,ถามตอบ
หลักปฏิบัติข้อใดเป็นการฝึกความอดทนของชาวมุสลิม ,การถือศีลอด ,ถามตอบ
คุณธรรม 4 ประการอันเป็นแนวพระราชดำรัสมีประโยชน์ต่อใครมากที่สุด ,คนไทยทุกคน ,ถามตอบ
เมื่อเกิดปัญหาในการทำงานนักเรียนควรปฏิบัติอย่างไร ,หาวิธีแก้ไขโดยใช้เหตุผล ,ถามตอบ
ถ้ามีการโต้แย้งในหมู่คณะควรใช้วิธีใดแก้ไขปัญหา ,ใช้เหตุผลและปัญญา ,ถามตอบ
การลงแขกเกี่ยวข้าวของชาวนาหมายถึงคุณธรรมในข้อใดมากที่สุด ,สามัคคีธรรม ,ถามตอบ
ถ้าถูกเพื่อนล้อว่าเขียนหนังสือไม่สวยนักเรียนควรปฏิบัติอย่างไร ,สำรวจตนเองและปรับปรุงแก้ไข ,ถามตอบ
ถ้าได้รับการคัดเลือกให้เป็นหัวหน้าห้องเราควรปฏิบัติอย่างไร ,วางตัวให้เหมาะสมกับหน้าที่ ,ถามตอบ
เราควรปฏิบัติตามกฎหมายเพราะเหตุใด ,พอจะทำให้สังคมไม่วุ่นวาย ,ถามตอบ
การวิ่งเล่นในโรงพยาบาลควรทำหรือไม่ ,ไม่ควรเพราะเป็นการรบกวนผู้อื่น ,ถามตอบ
นักเรียนจะช่วยอนุรักษ์สิ่งแวดล้อมได้อย่างไร ,ใช้ทรัพยากรอย่างประหยัด ,ถามตอบ
นักเรียนจะช่วยอนุรักษ์ประเพณีในจังหวัดได้อย่างไร ,ปฏิบัติตามประเพณีที่ดี ,ถามตอบ
เมื่อไปบ้านเพื่อนเราควรปฏิบัติอย่างไร ,ทำความเคารพผู้ใหญ่ในบ้าน ,ถามตอบ
เพราะเหตุใดเราจึงเรียนรู้เกี่ยวกับกฎหมาย ,เพราะ จะได้ปฏิบัติตนได้อย่างถูกต้อง ,ถามตอบ
เมื่ออายุครบ 15 ปีนักเรียนจะต้องปฏิบัติตนตามกฎหมายอย่างไร ,ทำบัตรประจำตัวประชาชน ,ถามตอบ
การที่นักเรียนได้รับการศึกษาขั้นพื้นฐานจะเป็นสิทธิในข้อใด ,สิทธิที่จะได้รับการพัฒนา ,ถามตอบ
ถ้าพบเห็นเด็กถูกทำร้ายร่างกายนักเรียนควรทำอย่างไร ,บอกผู้ปกครองหรือครู ,ถามตอบ
กฎหมายเป็นข้อบังคับให้ทุกคนปฏิบัติเพื่ออะไร ,ความยุติธรรม ,ถามตอบ
เราควรซื้อของอย่างไรจึงจะได้ชื่อว่าประหยัดและคุ้มค่า ,ตามความจำเป็น ,ถามตอบ
การตัดสินใจเลือกซื้อสินค้าและบริการควรคำนึงถึงสิ่งใดมากที่สุด ,รายได้ ,ถามตอบ
ระบบเศรษฐกิจข้อใดที่ขึ้นอยู่กับอำนาจรัฐและหน่วยงานของรัฐ ,เศรษฐกิจแบบบังคับ ,ถามตอบ
ระบบเศรษฐกิจแบบใดที่อำนาจการตัดสินใจทางเศรษฐกิจส่วนใหญ่ขึ้นอยู่กับฝ่ายเอกชน ,เศรษฐกิจแบบตลาด ,ถามตอบ
การตัดสินใจเลือกผลิตสินค้าในระบบเศรษฐกิจแบบดั้งเดิมควรนึกถึงสิ่งใดมากที่สุด ,ความต้องการของคนในครอบครัว ,ถามตอบ
องค์ประกอบที่เกี่ยวข้องกับกิจกรรมทางเศรษฐกิจเรียกว่าอะไร ,หน่วยเศรษฐกิจ ,ถามตอบ
ประเทศไทยใช้ระบบเศรษฐกิจแบบใด ,แบบผสม ,ถามตอบ
ระบบเศรษฐกิจแบบตลาดเรียกอีกอย่าง หนึ่ง ว่าอะไร ,ระบบเศรษฐกิจแบบบังคับ ,ถามตอบ
นักเรียนควรซื้อสินค้าเพราะเหตุใดมากที่สุด ,ความจำเป็น ,ถามตอบ
การเรียนรู้เกี่ยวกับการผลิตและการบริโภคทรัพยากรเรียกว่าอะไร ,เศรษฐศาสตร์ ,ถามตอบ
เทคโนโลยีใด ช่วยเพิ่มผลผลิตการเพาะปลูก ,รถไถนา ,ถามตอบ
ปัจจัยใดทำให้เกิดการผลิตสินค้าและบริการมากที่สุด ,ความต้องการปัจจัย 4 ,ถามตอบ
ชาวนาเป็นหน่วยเศรษฐกิจในข้อใด ,ผู้ผลิต ,ถามตอบ
สินค้าใดจัดเป็นสินค้าคงทนถาวร ,นาฬิกา ,ถามตอบ
เงินเหรียญชนิดใดไม่มีใช้ในปัจจุบัน ,เหรียญ   15 สตางค์ ,ถามตอบ
การซื้อขายแบบผ่อนส่งเงินที่ชำระในครั้งแรกเรียกว่าอะไร ,เงินดาวน์ ,ถามตอบ
การซื้อสินค้าผ่อน มีผลดีอย่างไร ,ได้สินค้ามาใช้ก่อนจ่ายเงิน ,ถามตอบ
ธนาคารกลางมีหน้าที่อย่างไร ,เป็นนายธนาคารของธนาคารพาณิชย์ ,ถามตอบ
เหตุใดเงินจึงทำให้ประชาชนมีความเป็นอยู่ที่สะดวกขึ้น ,เงินเป็นสื่อกลางในการแลกเปลี่ยนสินค้าและบริการ ,ถามตอบ
การจัดตั้งสหกรณ์โรงเรียนใครควรเป็นประธานคณะกรรมการที่ปรึกษา ,ครูใหญ่ ,ถามตอบ
การปฏิบัติตนตามแนวคิดเศรษฐกิจพอเพียงควรเริ่มจากที่ใด ,ตนเอง ,ถามตอบ
นักเรียนสามารถเรียนรู้กิจการสหรณ์ได้อย่างไร ,จัดตั้งสหกรณ์ในโรงเรียน ,ถามตอบ
นักเรียนมีโอกาสสมัครเป็นสมาชิกสหกรณ์ประเภทใดได้,สหกรณ์ร้านค้า ,ถามตอบ
การจัดตั้งสหกรณ์ที่สมบูรณ์แบบต้องประกอบด้วยบุคคลจำนวนเท่าใด ,10 คนขึ้นไป ,ถามตอบ
เหตุใดคนในภาคเหนือจึงนิยมสร้างบ้านด้วยไม้ ,พื้นที่มีป่าไม้สมบูรณ์ ,ถามตอบ
ในท้องถิ่นที่พื้นดินมีความอุดมสมบูรณ์คนมักนิยมประกอบอาชีพได้ ,เพาะปลูก,ถามตอบ
เหตุใดคนภาคอีสานจึงนิยมแต่งกายด้วยผ้าฝ้าย  ,มีสภาพอากาศร้อนและแห้งแล้ง ,ถามตอบ
การประกอบอาชีพเพาะปลูกในพื้นที่ต่างๆมีความแตกต่างกันเนื่องจากสาเหตุใด ,มีสภาพแวดล้อมต่างกัน ,ถามตอบ
เหตุใดคนในภาคตะวันออกจึงประกอบอาชีพทำประมงน้ำเค็ม ,อยู่ติดชายฝั่ง ,ถามตอบ
การประกอบอาชีพใดที่มีความเหมาะสมกับพื้นที่ทางภาคใต้ ,การทำสวนยางพารา ,ถามตอบ
การใช้แผนที่ให้ถูกต้องควรเรียนรู้เกี่ยวกับสิ่งใดให้เข้าใจก่อน ,ส่วนประกอบของแผนที่ ,ถามตอบ
ถ้าต้องการสำรวจข้อมูลของประเทศในด้านภูมิศาสตร์ควรใช้เครื่องมือประเภทใด ,แผนที่ ,ถามตอบ
การศึกษาแผนที่ ภูมิประเทศทำให้เรารู้เกี่ยวกับเรื่องได้ ,สภาพต่างๆบนผิวโลก ,ถามตอบ
ถ้าต้องการศึกษาเกี่ยวกับบริเวณที่ตั้งของจังหวัดที่เราอาศัยอยู่ควรศึกษาจากที่ใด ,แผนที่ประเทศ ,ถามตอบ
ภูมิปฐพีคือการศึกษาเกี่ยวกับเรื่องใด ,ดิน ,ถามตอบ
การสร้างเรือในภาคใต้ไม่นิยมฝังเสาเรือนลงดิน ,ภาคใต้ ,ถามตอบ
ข้อใดคือสาเหตุทางธรรมชาติที่ทำให้ดินเสื่อมโทรม ,อากาศแห้งแล้ง ,ถามตอบ
ทำอย่างไรจึงจะได้ชื่อว่าอนุรักษ์น้ำ ,ใช้น้ำเฉพาะที่จำเป็น ,ถามตอบ
เหตุใดชาวภาคกลางจึงนิยมสร้างเรือนที่มีใต้ถุนสูงมาก ,ป้องกันน้ำท่วม ,ถามตอบ
สถานที่ใดที่มักจะมีประชากรอาศัยอยู่หนาแน่นที่สุด ,ในเมืองหลวง ,ถามตอบ
ถ้าประชากรเพิ่มขึ้นอย่างรวดเร็วจะส่งผลต่อสิ่งใดมากที่สุด ,ความหนาแน่นของประชากรมากขึ้น ,ถามตอบ
อะไรเป็นสาเหตุทำให้ประชากรลดลง ,สภาพอากาศ ,ถามตอบ
ประชากรในภาครายมีอัตราการอพยพเข้ามาในกรุงเทพฯมากที่สุด ,ภาคอีสาน ,ถามตอบ
การคุมกำเนิดทำให้เกิดผลอย่างไรตามมา ,ประชากรลดลง,ถามตอบ
การอพยพแรงงานในชนบทมักเกิดขึ้นในช่วงเวลาใดมากที่สุด ,หลังฤดูเก็บเกี่ยว ,ถามตอบ
หลักตรีเอกานุภาพในชัยชนะคลิปไว้ถึงข้อใด ,พระบิดา พระบุตร พระจิต ,ถามตอบ
ในองค์ประกอบของศาสนาองค์ประกอบได้เกี่ยวข้องกับเรามากที่สุด ,หลักธรรมคำสอน ,ถามตอบ
ศาสนาทุกศาสนาไม่ได้สอนให้ศาสนิกชนของตนเป็นคนเช่นไร ,เอาเปรียบผู้อื่น ,ถามตอบ
วัฒนธรรมข้อใดเกี่ยวข้องกับการเกษตร ,การแห่นางแมว ,ถามตอบ
ค่านิยมใดที่ควรปลูกฝัง ,การยกย่องผู้ที่ทำความดี  ,ถามตอบ
ข้อใดเป็นวัฒนธรรมแบบผสมผสาน , การกินเจ ,ถามตอบ
การลงคะแนนเลือกตั้งหลักฐานใดมีความสำคัญที่สุด ,บัตรประจำตัวประชาชน  ,ถามตอบ
ผู้คนจะอาศัยอยู่หนาแน่นในบริเวณใด ,ที่ราบ ,ถามตอบ
จังหวัดที่มีภูมิอากาศหนาวควรปลูกพืชชนิดใด ,สตรอเบอรี่ ลิ้นจี่ ลูกท้อ ,ถามตอบ
น้ำมีความสำคัญต่อชีวิตในด้านใดมากที่สุด ,ใช้อุปโภคบริโภค ,ถามตอบ
การทำลายป่าชายเลนจะมีผลกระทบต่อทรัพยากรได้มากที่สุด ,สัตว์น้ำ ,ถามตอบ
ศาสนาใดไม่มีศาสดาผู้ก่อตั้งศาสนา ,ศาสนาพราหมณ์-ฮินดู ,ถามตอบ
ศาสนาคริสต์เกิดขึ้นในประเทศใด ,อิสราเอล ,ถามตอบ
ศาสนาทุกศาสนามีจุดมุ่งหมายที่เหมือนกันคือข้อใด ,สอนให้ทำความดีละเว้นความชั่ว ,ถามตอบ
พระเจ้าของศาสนาอิสลามคือพระเจ้าพระองค์ใด,พระอัลเลาะห์ ,ถามตอบ
ศาสนาใดเกิดขึ้นในประเทศซาอุดิอาระเบีย ,ศาสนาอิสลาม ,ถามตอบ
ศาสนาพราหมณ์ฮินดูเกิดขึ้นในประเทศใด ,อินเดีย ,ถามตอบ
ศาสนาใดไม่ได้เกิดขึ้นในประเทศอินเดีย ,ศาสนาอิสลาม ,ถามตอบ
หลักความรักในศาสนาคริสต์สอดคล้องกับหลักธรรมใดในพระพุทธศาสนา ,พรหมวิหาร 4 ,ถามตอบ
หลักฆราวาสธรรมเป็นหลักปฏิบัติของใคร ,พระอัลเลาะห์ท่านนบีมูฮัมหมัด ,ถามตอบ
การมีอุเบกขาทำให้เกิดผลดีในข้อใด ,จิตใจสงบ ,ถามตอบ
ข้อใดคือแนวปฏิบัติของผู้นับถือศาสนาอิสลาม ,ละหมาดวันละ 5 เวลา ,ถามตอบ
การบวงสรวงต่างๆเป็นพิธีกรรมของศาสนาใด ,ศาสนาพราหมณ์ฮินดู ,ถามตอบ
เราควรระงับความโกรธด้วยวิธีใด ,ฝึกจิตใจให้สงบ ,ถามตอบ
การจะทำงานให้สำเร็จควรเริ่มจากข้อใด ,กำหนดขั้นตอนการทำงาน ,ถามตอบ
การแสดงความกตัญญูกตเวทีมีผลดีต่อผู้ปฏิบัติอย่างไร  ,มีความสุขในการกระทำ ,ถามตอบ
บทบาทหมายถึงข้อใด ,ปฏิบัติหน้าที่ตามสถานภาพที่มีอยู่ ,ถามตอบ
การอนุรักษ์ทรัพยากรธรรมชาติและสิ่งแวดล้อมเป็นหน้าที่ของใคร ,ทุกคน ,ถามตอบ
ค่านิยมใดที่ควรปลูกฝัง ,การยกย่องผู้ที่ทำความดี  ,ถามตอบ
แนวทางปฏิบัติ คนในสังคมที่ปฏิบัติอยู่เป็นปกติถ้าใครไม่ปฏิบัติตามอาจถูกตำหนิจากสังคมเรียกว่าอะไร , วิถีประชา ,ถามตอบ
การทักทายกันตามแบบประเพณีไทยควรทำอย่างไร ,ยกมือไหว้ ,ถามตอบ
วัฒนธรรมแม้ข้อใดที่คนไทยดัดแปลงมาจากต่างประเทศ ,การใช้สช้อนส้อมรับประทานอาหาร ,ถามตอบ
 นักเรียนจะช่วยอนุรักษ์วัฒนธรรมของจังหวัดได้อย่างไร ,เข้าร่วมประเพณีของท้องถิ่น ,ถามตอบ
องค์การบริหารส่วนจังหวัดยึดหลักใดในการปกครอง ,การกระจายอำนาจ ,ถามตอบ
การบริหารงานของบุคคลขององค์การบริหารส่วนจังหวัดเป็นหน้าที่ของใคร ,นายกองค์การบริหารส่วนจังหวัด ,ถามตอบ
ผู้ว่าราชการจังหวัด สังกัดกระทรวงใด ,กระทรวงมหาดไทย ,ถามตอบ
ถ้านักเรียนมีสิทธิเลือกตั้งควรเลือกบุคคลแบบใด ,มีความเสียสละ ,ถามตอบ
องค์การบริหารส่วนจังหวัดมีใครเป็นประธาน ,สมาชิกสภาองค์การบริหารส่วนจังหวัด ที่ได้รับคัดเลือก ,ถามตอบ
การปกครองระบอบประชาธิปไตยอำนาจสูงสุดเป็นของใคร ,ปวงชนชาวไทย ,ถามตอบ
ศาลได้เมื่อพิพากษาคดีแล้วถือเป็นที่สิ้นสุด ,ศาลฎีกา ,ถามตอบ
อำนาจนิติบัญญัติหมายถึงข้อใด ,อำนาจในการออกยกเลิกแก้ไขหรือเพิ่มเติมกฎหมาย ,ถามตอบ
พระมหากษัตริย์ทรงใช้อำนาจบริหารผ่านทางได้ ,คณะรัฐมนตรี ,ถามตอบ
กฎหมายทุกฉบับจะต้องอยู่ภายใต้หลักการของอะไร ,รัฐธรรมนูญ ,ถามตอบ
นิติกรรมใดที่ผู้เยาว์สามารถทำได้ ,เก็บเงินเพื่อซื้อรถจักรยาน ,ถามตอบ
บุคคลจะบรรลุนิติภาวะได้ เมื่อใด ,เมื่ออายุครบ 20 ปี บริบูรณ์ ,ถามตอบ
การสมรสที่ถูกต้องสมบูรณ์จะต้องดำเนินการตามข้อใด ,จดทะเบียนสมรส ,ถามตอบ
ครอบครัวจะมีความสุขถ้าปฏิบัติอย่างไร ,รู้จักสิทธิหน้าที่ของตนเอง ,ถามตอบ
เด็กหมายถึงผู้มีอายุต่ำกว่าเท่าใด ,18 ปี ,ถามตอบ
สิทธิพื้นฐานของอนุสัญญาสิทธิเด็กเป็นข้อตกลงขององค์การใด  ,สหประชาชาติ ,ถามตอบ
ถ้านักเรียนจะผลิตสินค้าจะต้องคำนึงถึงข้อใดเป็นอันดับแรก ,ผลิตอะไร ,ถามตอบ
ถ้าจำนวนเงินเท่าเดิมแต่ซื้อสินค้าได้น้อยลงแสดงว่าค่าของเงินเป็นอย่างไร ,ลดลง ,ถามตอบ
ตลาดในระบบเศรษฐกิจมีกี่ประเภท ,2ประเภท ,ถามตอบ
การกู้เพื่อสร้างบ้านจัดอยู่ในสินเชื่อประเภทใด ,เพื่อที่อยู่อาศัย ,ถามตอบ
สินเชื่อในรูปของบัตรเครดิตจัดอยู่ในสินเชื่อประเภทใด ,ส่วนบุคคล ,ถามตอบ
